drug_1,drug_2,drug_3,synergy_score
fentanyl,midazolam,propofol,1.0
docetaxel,epirubicin,gemcitabine,0.8556239425023028
anastrozole,exemestane,letrozole,0.6672428360383857
capecitabine,eribulin,vinorelbine,0.6167023724824809
capecitabine,epirubicin,paclitaxel,0.6151701425418864
capecitabine,docetaxel,epirubicin,0.6025401617449895
capecitabine,lapatinib,panobinostat,0.5635896131943435
anastrozole,degarelix,letrozole,0.5615438159669911
epirubicin,gemcitabine,paclitaxel,0.554095342509957
capecitabine,epirubicin,gemcitabine,0.5432810154130213
anastrozole,goserelin,letrozole,0.5244890280562532
alpelisib,fulvestrant,tucatinib,0.5150400930719652
docetaxel,epirubicin,paclitaxel,0.5092050492978666
anastrozole,fulvestrant,letrozole,0.49472836804944403
midazolam,pF-03084014,propofol,0.4820971867007786
goserelin,midazolam,propofol,0.48209718670077023
docetaxel,midazolam,propofol,0.48209718670077
hydroxychloroquine,midazolam,propofol,0.48209718670076995
midazolam,paclitaxel,propofol,0.4820971867007699
canagliflozin,midazolam,propofol,0.4820971867007699
exemestane,midazolam,propofol,0.4820971867007699
letrozole,midazolam,propofol,0.4820971867007699
fulvestrant,midazolam,propofol,0.4820971867007699
capecitabine,midazolam,propofol,0.4820971867007699
eribulin,midazolam,propofol,0.4820971867007698
anastrozole,midazolam,propofol,0.4820971867007698
gemcitabine,midazolam,propofol,0.4820971867007698
alpelisib,midazolam,propofol,0.48209718670076973
lapatinib,midazolam,propofol,0.48209718670076973
midazolam,propofol,vinorelbine,0.48209718670076973
lY2835219,midazolam,propofol,0.48209718670076973
midazolam,panobinostat,propofol,0.48209718670076973
midazolam,propofol,tucatinib,0.4820971867007697
degarelix,midazolam,propofol,0.48209718670076956
epirubicin,midazolam,propofol,0.48209718670076945
everolimus,midazolam,propofol,0.48209718670076945
entrectinib,midazolam,propofol,0.48209718670076923
midazolam,palbociclib,propofol,0.48209718670076923
anastrozole,degarelix,exemestane,0.4600760986101876
